Level,Word,Headword,Headword_flag,POS
1,babies,baby,0,noun/verb
1,babyish,baby,0,adjective
1,babyhood,baby,0,noun
1,back,back,1,noun/verb/adjective/adverb
1,backed,back,0,verb/adjective
1,backer,back,0,noun
1,backers,back,0,noun
1,backing,back,0,noun/verb
1,backs,back,0,noun/verb
1,backward,back,0,adjective/adverb
1,backwardness,back,0,noun
1,backwardnesses,back,0,noun
1,backwards,back,0,adverb
1,bad,bad,1,noun/adjective/adverb
1,baddie,bad,0,noun
1,baddies,bad,0,noun
1,baddy,bad,0,noun/adjective/adverb
1,badly,bad,0,adverb
1,badness,bad,0,noun
1,bag,bag,1,noun/verb
1,bagful,bag,0,noun
1,bagfuls,bag,0,noun
1,baggage,bag,0,noun
1,bagged,bag,0,verb
1,bagging,bag,0,noun/verb
1,bags,bag,0,noun/verb
1,ball,ball,1,noun/verb
1,balled,ball,0,verb
1,balling,ball,0,verb
1,balls,ball,0,noun/verb
1,bank,bank,1,noun/verb
1,banked,bank,0,verb
1,banker,bank,0,noun
1,bankers,bank,0,noun
1,banking,bank,0,noun/verb
1,banks,bank,0,noun/verb
1,bar,bar,1,noun/verb
1,barred,bar,0,verb/adjective
1,barring,bar,0,noun/verb
1,bars,bar,0,noun/verb
1,unbarred,bar,0,verb/adjective
1,base,base,1,noun/verb/adjective
1,based,base,0,verb/adjective
1,baseless,base,0,adjective
1,baser,base,0,adjective
1,bases,base,0,noun/verb
1,basest,base,0,adjective
1,basing,base,0,verb
1,baseness,base,0,noun
1,basely,base,0,adverb
1,basic,basic,1,noun/adjective
1,basically,basic,0,adverb
1,basics,basic,0,noun
1,bath,bath,1,noun/verb
1,baths,bath,0,noun/verb
1,be,be,1,verb
1,ain,be,0,adjective
1,am,be,0,noun/verb
1,are,be,0,noun/verb
1,aren,be,0,verb
1,been,be,0,verb
1,beens,be,0,verb
1,bein,be,0,verb
1,being,be,0,noun/verb
1,beings,be,0,noun
1,innit,be,0,verb
1,is,be,0,verb
1,isn,be,0,noun
1,m,be,0,noun/adjective
1,re,be,0,noun
1,s,be,0,noun
1,tis,be,0,noun
1,twas,be,0,verb
1,was,be,0,noun/verb
1,wasn,be,0,verb
1,were,be,0,verb
1,weren,be,0,verb
1,wert,be,0,verb
1,wuz,be,0,verb
1,beach,beach,1,noun/verb
1,beached,beach,0,verb
1,beaches,beach,0,noun/verb
1,beaching,beach,0,verb
1,bear,bear,1,noun/verb
1,bearable,bear,0,adjective
1,bearably,bear,0,adverb
1,bearer,bear,0,noun
1,bearers,bear,0,noun
1,bearing,bear,0,noun/verb/adjective
1,bearings,bear,0,noun
1,bears,bear,0,noun/verb
1,bore,bear,0,noun/verb
1,borne,bear,0,verb
1,unbearable,bear,0,adjective
1,unbearably,bear,0,adverb
1,beat,beat,1,noun/verb/adjective
